ADM Abbreviations
                                   ADM abbreviations




ADM Abbreviation   Full Phase


AA                 Attendance Allowance


“AA”               “Attendance Allowance” as defined in Reg 2 of the UC Regs


AWRR               All work–related requirements


ADC                Actual Date of Confinement


ADP                Adult Disability Payment


AET                Administrative earnings threshold


AFIP               Armed forces independence payment


ALP                Agent Lead Process


AP                 Assessment period


art                article(s)


BA                 Bereavement Allowance


BC                 Benefit Cap


BSG                Best Start Grant


BPT                Bereavement Payment


CA                 Carer’s Allowance


CDP                Child Disability Payment


CSP                Carer Support Payment


CHB                Child Benefit
CMD        Child Maintenance Deduction


CMG        Child Maintenance Group


CMS        Child Maintenance Service


CPen       Civil Penalty


CSM        Child support maintenance


CTC        Child tax credit


CTM        Contribution to Maintenance


CWP        Cold Weather Payment


DCT        Direct Credit Transfer


DH         Department of Health


DLA        Disability Living Allowance


DM         Decision Maker


EDP        Enhanced Disability Premium


EEA        European Economic Area


ESA        Employment and Support Allowance


EU         European Union


EU-UK-WA   EU-UK Withdrawal Agreement


EWC        Expected Week of Confinement


FAS        Financial Assistance Scheme


FRM        Flat Rate Maintenance


FtT        First-tier Tribunal


F/T        Full-time
FTE     Full-time education


FTP     Fixed term period


GA      Guardian’s Allowance


GB      Great Britain


GMP     Guaranteed Minimum Pension


GP      General practitioner


GRB     Graduated Retirement Benefit


GTRDF   Grenfell Tower Residents' Discretionary Fund


HB      Housing benefit


HCC     Housing Costs Contribution


HCE     Housing Costs Element


HCP     Health care professional


HM      Her/His Majesty


HMF     Her/His Majesty's Forces


HMRC    Her Majesty’s Revenue and Customs


HO      Home Office


HP      Health Professional


IDB     Industrial Death Benefit


IFM     Immediate FamilyMember


IIB     Industrial Injuries Benefit


IIDB    Industrial Injuries Disablement Benefit


JSA     Jobseeker’s Allowance
LA          Local Authority


LCW         Limited capability for work


LCWRA       Limited capability for work and work–related activity


LEA         Local education authority


LEL         Lower earnings limit


LTAHAW/CP   Living together as husband and wife/civil partner


LTAMC       Living together as Married Couple


MA          Maternity Allowance


MAP         Maternity Allowance period


MP          Member of Parliament


MSP         Member of Scottish Parliament


MWA         Mandatory Work Activity


nPES        New Payment Exemption Service


NI          National Insurance


NMW         National minimum wage


NRP         Non-Resident Parent


NRS         National Retraining Scheme


NWRR        No work–related requirements


PADP        Pension Age Disability Payment


PBL         Parental Bereavement Leave


PBP         Parental Bereavement Payment


PAYE        Pay As You Earn
pcm     Per calendar month


PIP     Personal Independence Payment


PO      Post Office


POAOB   Payment on Account of Benefit


PSIC    Person subject to immigration control


P/T     Part-time


PW      Per week


PWC     Person With Care


PWHL    Permitted work higher limit


PWK     Permitted work


PWLL    Permitted work lower limit


PWP     Permitted work period


QP      Qualifying Period


QW      Qualifying Week


RA      Retirement Allowance


REA     Reduced earnings Allowance


reg     regulation(s)


RTI     Real Time Interface


RVU     Relationship Validation Unit


s       section(s)


S2P     State Second Pension


SADLA   Scottish Adult Disability Living Allowance
SC     Service centre


Sch    Schedule(s)


SDB    Scottish Disability Benefit


SDP    Severe Disability Premium


S/E    Self Employed


SF     Social Fund


SFFP   Social Fund Funeral Payment


SimP   Simple Payment service


SMP    Statutory Maternity Pay


SPC    State Pension Credit


SPW    Supported permitted work


SSP    Statutory Sick Pay


SSMG   Sure Start Maternity Grant


TCN    Third Country National


TC     Tax Credit


TORP   Total Outstanding Reduction Period


UC     Universal Credit


UK     United Kingdom


US     Unemployability Supplement


VCOD   Vaccination as a Condition of Deployment


VO     Visiting officer


WCA    Work capability assessment
WFHRA   Work-focused health-related assessment


WFI     Work-focused interview


WFP     Winter Fuel Payment


WHP     Work and Health Programme


WMA     Widowed Mother’s Allowance


WP      Widow’s Pension


WPA     Widowed Parent’s Allowance


WRA     Work-related activity


WRAC    Work–related activity component


WTC     Working tax credit

